osm_id,osm_type,name,highway,place,dynamic_risk,risk_category,priority
1262014179,node,Nolikata,,village,0.01719464361667633,LOW,LOW
1262014344,node,Mynso,,village,0.45649203658103943,ELEVATED,MODERATE
1262014463,node,Shella,,village,0.3364170491695404,MODERATE,LOW
1262014487,node,Ratacherra,,village,0.03796027973294258,LOW,LOW
1262014578,node,Mawryngkneng,,village,0.524258017539978,HIGH,HIGH
1262014635,node,Muktapur,,village,0.043486081063747406,LOW,LOW
1262014817,node,Balat,,village,0.3184703290462494,MODERATE,LOW
1262014838,node,Umling,,village,,NO DATA,NO DATA
1262014939,node,Laskein,,village,0.07568233460187912,LOW,LOW
1262014982,node,Amlarem,,village,0.02452530711889267,LOW,LOW
1262015020,node,Thadlaskein,,village,0.1913451999425888,LOW,LOW
1262015033,node,Saipung,,village,0.049153801053762436,LOW,LOW
1262015039,node,Nongjri Tishang,,hamlet,0.28904807567596436,MODERATE,LOW
1262015202,node,Mawkynrew,,hamlet,0.23629631102085114,MODERATE,LOW
1262015226,node,Bapung,,village,0.14656148850917816,LOW,LOW
1262015292,node,Khanduli,,village,0.05190608277916908,LOW,LOW
1262015648,node,Pyndem Mawthawiong,,village,0.1749585121870041,LOW,LOW
1262084616,node,Zikzak,,village,0.49540629982948303,ELEVATED,MODERATE
1262084701,node,Nengkhra,,village,0.055539682507514954,LOW,LOW
1262085027,node,Rewak,,village,0.11872369796037674,LOW,LOW
1262085246,node,Betasing,,village,0.00953298807144165,LOW,LOW
1262085444,node,Nonshram,,village,0.4028870463371277,ELEVATED,MODERATE
1262085445,node,Bhaitbari,,village,,NO DATA,NO DATA
1329752259,node,Dainadubi,,village,0.2587887942790985,MODERATE,LOW
1329752271,node,Darugiri,,village,0.1646595150232315,LOW,LOW
1329752276,node,Nongdaju,,village,0.10168831050395966,LOW,LOW
1472175417,node,ভোলাগঞ্জ,,village,0.0004285714530851692,LOW,LOW
1739922352,node,Fakirganj,,village,,NO DATA,NO DATA
1811210915,node,Sontoli,,village,,NO DATA,NO DATA
2037923462,node,Rongrengiri,,village,0.04529275745153427,LOW,LOW
2037923463,node,Singrimari,,village,,NO DATA,NO DATA
2382510495,node,Noapara,,village,0.014649512246251106,LOW,LOW
2382511153,node,Durmut,,village,0.025364186614751816,LOW,LOW
2382511154,node,Kulia,,village,0.027601825073361397,LOW,LOW
2382512954,node,Gaibandha,,village,0.002218750072643161,LOW,LOW
2382512955,node,Goaler Char,,village,0.0,LOW,LOW
2382512956,node,Palbandha,,village,0.0,LOW,LOW
2382512957,node,Patharsi,,village,0.0,LOW,LOW
2382519624,node,Bagar Char,,village,0.007160714361816645,LOW,LOW
2382519627,node,Battajore,,village,0.0,LOW,LOW
2382519628,node,Char Aomkhaoa,,village,0.005889137275516987,LOW,LOW
2382519629,node,Char Goalini,,village,0.0014791666762903333,LOW,LOW
2382519630,node,Char Putimari,,village,0.0,LOW,LOW
2382519633,node,Dangdhara,,village,0.0036093750968575478,LOW,LOW
2382519634,node,Dhanua,,village,0.010078124701976776,LOW,LOW
2382519635,node,Hatebhanga,,village,0.0026874998584389687,LOW,LOW
2382519637,node,Merur Char,,village,0.0,LOW,LOW
2382519638,node,Nilakhia,,village,0.016149554401636124,LOW,LOW
2382519639,node,Par Ramrampur,,village,0.0,LOW,LOW
2382519640,node,Sadhupara,,village,0.0,LOW,LOW
