elevation,slope,aspect,curvature,landcover_class,latitude,longitude,district,initiation_year,triggering,label
390.7635803222656,25.428903579711914,216.18655395507812,-0.006511411629617214,10,25.945225,91.560703,Ri-Bhoi,2016,Rainfall,1
445.4136962890625,19.56809425354004,314.9111022949219,0.0013227545423433185,10,25.940439,91.563069,Ri-Bhoi,2016,Rainfall,1
475.56756591796875,35.3563346862793,255.1002197265625,-0.0017330620903521776,10,25.936583,91.563917,Ri-Bhoi,2016,Rainfall,1
472.07122802734375,25.638975143432617,169.8651885986328,-0.0021601722110062838,10,25.935833,91.56525,Ri-Bhoi,2016,Rainfall,1
472.03521728515625,25.190553665161133,179.40513610839844,-0.001454923301935196,30,25.935908,91.564903,Ri-Bhoi,2016,Rainfall,1
506.1717834472656,26.565473556518555,262.19720458984375,-0.0042993659153580666,30,25.930386,91.571822,Ri-Bhoi,2016,Rainfall,1
423.3148193359375,17.734140396118164,25.53987693786621,-0.004166599828749895,10,25.913997,91.578903,Ri-Bhoi,2016,Rainfall,1
464.3343505859375,15.77408218383789,175.4361572265625,0.0024031067732721567,10,25.9235,91.574222,Ri-Bhoi,2016,Rainfall,1
369.51959228515625,7.810173988342285,151.75436401367188,-0.005607277154922485,10,25.994619,91.577214,Ri-Bhoi,2016,Rainfall,1
386.16766357421875,23.655269622802734,265.9773254394531,-0.003818090073764324,10,25.978481,91.569575,Ri-Bhoi,2016,Rainfall,1
274.9525451660156,30.113109588623047,355.625244140625,0.0035181832499802113,10,25.971897,91.562372,Ri-Bhoi,2016,Rainfall,1
284.68768310546875,21.968830108642578,19.627464294433594,-0.0038966978900134563,10,25.972322,91.561125,Ri-Bhoi,2016,Rainfall,1
273.7158203125,22.469738006591797,14.015525817871094,-0.004400230012834072,10,25.972469,91.560822,Ri-Bhoi,2016,Rainfall,1
79.99092102050781,20.721216201782227,302.31451416015625,0.003249518107622862,60,26.011861,91.569611,Ri-Bhoi,0,,1
105.14381408691406,24.029294967651367,342.0561828613281,0.003775771940127015,10,26.08125,91.798278,Ri-Bhoi,0,,1
79.7969970703125,18.31983757019043,150.3034210205078,0.0035693140234798193,10,26.086975,91.7831,Ri-Bhoi,0,,1
108.44185638427734,4.946606636047363,109.45116424560547,0.0022854693233966827,10,25.83,91.05,West Khasi Hills,2019,Rainfall,1
108.44185638427734,4.946606636047363,109.45116424560547,0.0022854693233966827,10,25.83,91.05,West Khasi Hills,0,Rainfall,1
433.2152099609375,16.393142700195312,102.7905044555664,0.004041999112814665,30,25.81,91.02,West Khasi Hills,0,Rainfall,1
367.35614013671875,15.962605476379395,280.1456298828125,0.005063290242105722,10,25.716594,90.822539,East Garo hills,0,Rainfall,1
434.4111633300781,17.14749526977539,307.2845458984375,0.010008301585912704,10,25.635556,90.807778,East Garo hills,0,Rainfall,1
434.0950012207031,4.934182643890381,244.50390625,0.006024598143994808,10,25.625142,90.791675,West Khasi Hills,0,Rainfall,1
537.2892456054688,13.790834426879883,308.4915466308594,0.0017595229437574744,10,25.8,91.01,West Khasi Hills,0,Rainfall,1
567.212646484375,13.777159690856934,299.4463195800781,0.0014445381239056587,10,25.79,91.02,West Khasi Hills,0,Rainfall,1
918.4717407226562,15.528468132019043,242.12252807617188,0.0006507309735752642,30,25.693222,91.0555,West Khasi Hills,0,Rainfall,1
923.8782348632812,10.865166664123535,82.79891204833984,-0.005469938274472952,30,25.691444,91.057,West Khasi Hills,0,Rainfall,1
